Wire initialized.
Initializing MPU9250...
MPU9250 Initialized successfully.
Haptic motors initialized.
Flex1,Flex2,FSR1,FSR2,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
0,0,103,150,-0.69,0.04,-0.70,-0.18,4.03,-0.79,0.00,0.00,0.00
0,0,58,97,-0.69,0.04,-0.70,-0.18,4.03,-0.85,0.00,0.00,0.00
0,0,49,76,-0.69,0.04,-0.70,-0.24,3.97,-0.79,0.00,0.00,0.00
0,0,47,70,-0.69,0.04,-0.70,-0.18,3.97,-0.73,0.00,0.00,0.00
0,0,47,68,-0.69,0.04,-0.70,-0.24,3.97,-0.85,0.00,0.00,0.00
0,0,47,67,-0.69,0.04,-0.70,-0.24,3.97,-0.79,0.00,0.00,0.00
0,0,47,67,-0.69,0.04,-0.70,-0.24,3.85,-0.85,0.00,0.00,0.00
0,0,47,66,-0.69,0.04,-0.70,-0.06,3.91,-0.85,0.00,0.00,0.00
0,0,47,66,-0.69,0.04,-0.70,-0.12,4.03,-0.85,0.00,0.00,0.00
0,0,47,66,-0.69,0.05,-0.70,-0.31,3.97,-0.85,0.00,0.00,0.00
0,0,47,66,-0.69,0.04,-0.70,-0.18,3.97,-0.79,0.00,0.00,0.00
0,0,47,66,-0.69,0.04,-0.70,-0.12,3.91,-0.79,0.00,0.00,0.00
0,0,47,66,-0.69,0.04,-0.70,-0.24,4.03,-0.79,0.00,0.00,0.00
0,0,47,66,-0.69,0.04,-0.70,-0.18,4.03,-0.79,0.00,0.00,0.00
0,0,47,66,-0.69,0.04,-0.70,-0.18,3.97,-0.92,0.00,0.00,0.00
0,0,47,66,-0.69,0.04,-0.70,-0.18,3.91,-0.73,0.00,0.00,0.00
0,0,47,66,-0.69,0.04,-0.70,-0.18,3.97,-0.73,0.00,0.00,0.00
0,0,46,66,-0.69,0.04,-0.70,-0.24,3.91,-0.85,0.00,0.00,0.00
0,0,47,66,-0.69,0.04,-0.70,-0.12,3.97,-0.73,0.00,0.00,0.00
0,0,46,66,-0.69,0.04,-0.70,-0.24,3.91,-0.73,0.00,0.00,0.00
0,0,46,66,-0.69,0.04,-0.70,-0.18,3.97,-0.79,0.00,0.00,0.00
0,0,47,66,-0.69,0.04,-0.70,-0.24,3.85,-0.79,0.00,0.00,0.00
0,0,46,66,-0.69,0.04,-0.70,-0.24,3.91,-0.79,0.00,0.00,0.00
0,0,46,66,-0.69,0.04,-0.70,-0.31,3.97,-0.79,0.00,0.00,0.00
0,0,46,66,-0.69,0.04,-0.70,-0.24,3.97,-0.85,0.00,0.00,0.00
0,0,46,66,-0.69,0.04,-0.70,-0.18,3.91,-0.79,0.00,0.00,0.00
0,0,46,66,-0.69,0.04,-0.70,-0.12,3.97,-0.85,0.00,0.00,0.00
0,0,46,66,-0.69,0.04,-0.70,-0.18,3.85,-0.79,0.00,0.00,0.00
0,0,46,65,-0.69,0.04,-0.70,-0.24,3.97,-0.79,0.00,0.00,0.00
0,0,46,65,-0.69,0.04,-0.70,-0.24,3.97,-0.79,0.00,0.00,0.00
0,0,46,66,-0.69,0.04,-0.70,-0.18,3.97,-0.73,0.00,0.00,0.00
0,0,46,66,-0.69,0.04,-0.70,-0.24,3.97,-0.73,0.00,0.00,0.00
0,0,46,66,-0.69,0.04,-0.70,-0.18,4.03,-0.79,0.00,0.00,0.00
0,0,46,65,-0.69,0.04,-0.70,-0.18,4.03,-0.79,0.00,0.00,0.00
0,0,47,66,-0.69,0.04,-0.70,-0.12,3.85,-0.73,0.00,0.00,0.00
0,0,46,66,-0.69,0.04,-0.70,-0.12,3.97,-0.73,0.00,0.00,0.00
0,0,47,66,-0.69,0.04,-0.70,-0.24,4.03,-0.79,0.00,0.00,0.00
0,0,46,66,-0.69,0.04,-0.70,-0.24,3.97,-0.79,0.00,0.00,0.00
0,0,46,66,-0.69,0.04,-0.70,-0.24,4.03,-0.85,0.00,0.00,0.00
0,0,46,65,-0.69,0.04,-0.70,-0.24,3.97,-0.85,0.00,0.00,0.00
